Location,Latitude,Longitude,Country,County,Reported Location,Crash ID,Crash Date,Year,Month,Crash Time,Quarter of the day,Crash Type,Severity,Pedestrians,Pedestrian Casualties
"-35.23191, 149.054575",-35.23191,149.054575,"Ratcliffe Crescent after Challinor Crescent, Australian Capital Territory, Ratcliffe Crescent, Florey 2615, Australia",Florey 2615,RATCLIFFE CRESCENT (CHALLINOR -> CHALLINOR),1152106,23/01/2017,2017,January,16:00,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.320601, 149.134962",-35.320601,149.134962,"Manuka Shops, Australian Capital Territory, Manuka Terrace, Franklin Street, Griffith 2603, Australia", Griffith 2603,CAPTAIN COOK/FRANKLIN INTERSECTION,1162345,23/05/2017,2017,May,18:45,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.342443, 149.12875",-35.342443,149.12875,"Australian Capital Territory, Borrowdale Street, Red Hill 2603, Australia", Red Hill 2603,BORROWDALE STREET (NORFOLK -> BORROWDALE),1152674,05/09/2016,2016,September,10:29,Morning,Struck pedestrian (Off Road),Injury,1,1
"-35.275373, 149.125049",-35.275373,149.125049,"Food Co-op, Australian Capital Territory, Kingsley Street, City 2601, Australia", City 2601,BARRY/KINGSLEY INTERSECTION,1154539,03/03/2017,2017,March,16:23,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.24957, 149.070075",-35.24957,149.070075,"Belconnen Tennis Club, Australian Capital Territory, Halloran Close, Macquarie 2614, Australia", Macquarie 2614,HALLORAN CLOSE (BOWMAN -> HALLORAN),1155513,15/02/2017,2017,February,22:55,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.261104, 149.108905",-35.261104,149.108905,"Inner North Dog Park, Australian Capital Territory, Barry Drive, O'Connor 2602, Australia", O'Connor 2602,BARRY DRIVE (BELCONNEN -> FRITEBARRNRM),1213554,08/04/2018,2018,April,02:30,Night,Struck pedestrian (On Road),Injury,1,1
"-35.420837, 149.129395",-35.420837,149.129395,"Australian Capital Territory, Lucy Gullett Circuit, Chisholm 2905, Australia", Chisholm 2905,LUCY GULLETT CIRCUIT (BAINBRIDGE -> LUCY GULLETT),1153425,18/02/2017,2017,February,15:51,Afternoon,Struck pedestrian (Off Road),Injury,1,1
"-35.253846, 149.085583",-35.253846,149.085583,"Australian Capital Territory, Belconnen Way, Bruce 2617, Australia", Bruce 2617,BELCONNEN/HAYDON INTERSECTION,1155516,27/02/2017,2017,February,16:10,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.19682, 149.070014",-35.19682,149.070014,"Australian Capital Territory, Clarey Crescent, Spence 2615, Australia", Spence 2615,CLAREY/OWEN DIXON INTERSECTION,1154362,17/12/2016,2016,December,22:30,Evening,Struck pedestrian (Off Road),Injury,1,1
"-35.273588, 149.14256",-35.273588,149.14256,"Australian Capital Territory, Limestone Avenue, Ainslie 2602, Australia", Ainslie 2602,ALT/LIMESTONE INTERSECTION,1153629,15/01/2017,2017,January,20:30,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.225538, 149.048216",-35.225538,149.048216,"Krefft Street after Boswell Crescent, Australian Capital Territory, Krefft Street, Florey 2615, Australia", Florey 2615,KREFFT STREET (BOSWELL -> THORPE),1154361,17/12/2016,2016,December,18:00,Evening,Struck pedestrian (Off Road),Injury,1,1
"-35.164537, 149.109157",-35.164537,149.109157,"Australian Capital Territory, Tipiloura Street, Ngunnawal 2913, Australia", Ngunnawal 2913,TIPILOURA STREET (MOKARE -> AHMATT),1157002,11/03/2017,2017,March,14:50,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.253107, 149.090986",-35.253107,149.090986,"North Canberra Hospital, Australian Capital Territory, Mary Potter Circuit, Bruce 2617, Australia", Bruce 2617,MARY POTTER CIRCUIT (IGNATIUS -> HYSON),1158943,01/03/2017,2017,March,16:40,Afternoon,Struck pedestrian (On Road),Injury,2,2
"-35.340758, 149.084671",-35.340758,149.084671,"Launceston Street opposite Phillip Oval, Australian Capital Territory, Launceston Street, Phillip 2606, Australia", Phillip 2606,LAUNCESTON STREET (FURZER -> BOWES),1160756,10/05/2017,2017,May,15:33,Afternoon,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.283469, 149.124506",-35.283469,149.124506,"Australian Capital Territory, Marcus Clarke Street, City 2601, Australia", City 2601,EDINBURGH/MARCUS CLARKE INTERSECTION,1160670,19/05/2017,2017,May,18:10,Evening,Struck pedestrian (On Road),Injury,1,1
"-35.279596, 149.129155",-35.279596,149.129155,"Australian Capital Territory, London Circuit, City 2601, Australia", City 2601,LONDON/NORTHBOURNE INTERSECTION,1162039,27/05/2017,2017,May,22:23,Evening,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.243069, 149.038354",-35.243069,149.038354,"Hawker 203, Australian Capital Territory, Walhallow Street, Hawker 2614, Australia", Hawker 2614,WALHALLOW STREET (JINKA -> DELAMERE),1164409,06/07/2017,2017,July,13:40,Afternoon,Struck pedestrian (Off Road),Injury,1,1
"-35.413711, 149.109821",-35.413711,149.109821,"Gowrie Shops, Australian Capital Territory, Gowrie Supermarket, Jeffries Street, Gowrie 2904, Australia", Gowrie 2904,JEFFRIES STREET / HOUSE NO 1 - HOUSE NO 7,1164861,25/07/2017,2017,July,10:30,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.242985, 149.071007",-35.242985,149.071007,"Canberra City Gymnastics Club, Australian Capital Territory, 85 Chandler Street, Belconnen 2617, Australia", Belconnen 2617,CHANDLER/COLLEGE INTERSECTION,1164752,17/07/2017,2017,July,17:40,Afternoon,Struck pedestrian (On Road),Injury,1,1
"-35.343624, 149.087883",-35.343624,149.087883,"Australian Capital Territory, Callam Street, Phillip 2606, Australia", Phillip 2606,BOWES/CALLAM INTERSECTION,1165055,02/08/2017,2017,August,09:00,Morning,Struck pedestrian (On Road),Property Damage Only,1,0
"-35.237065, 149.031857",-35.237065,149.031857,"Australian Capital Territory, Findlay Street, Higgins 2615, Australia", Higgins 2615,FINDLAY/KINGSFORD SMITH INTERSECTION,1165053,01/08/2017,2017,August,07:30,Morning,Struck pedestrian (On Road),Injury,1,1
